id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,duration_minutes,hour,day_of_week,is_weekend,month,peak_hour_flag,is_night,is_holiday,event_window,event_window_code,location_cluster,distance_to_nearest_junction_km,distance_to_nearest_corridor_km,is_major_corridor,event_path_distance_km,contains_water,contains_tree,contains_accident,contains_rally,contains_breakdown,contains_pothole,contains_closure,event_type_encoded,event_cause_encoded,priority_encoded,veh_type_encoded,status_encoded,corridor_encoded,junction_encoded,zone_encoded,tfidf_accident,tfidf_congestion,tfidf_construction,tfidf_others,tfidf_pot_holes,tfidf_procession,tfidf_public_event,tfidf_road_conditions,tfidf_starting_problem,tfidf_starting_problem_vehicle_breakdown,tfidf_tree_fall,tfidf_unknown,tfidf_unknown_accident,tfidf_unknown_pot_holes,tfidf_unknown_tree_fall,tfidf_unknown_vehicle_breakdown,tfidf_unknown_water_logging,tfidf_vehicle_breakdown,tfidf_vehicle_breakdown_vehicle_breakdown,tfidf_water_logging,severity_score,severity,severity_encoded,congestion_impact_score,affected_radius,corridor_historical_avg_duration,corridor_historical_avg_severity,corridor_historical_event_frequency,corridor_historical_avg_impact,junction_historical_avg_duration,junction_historical_avg_severity,junction_historical_event_frequency,junction_historical_avg_impact,location_cluster_historical_avg_duration,location_cluster_historical_avg_severity,location_cluster_historical_event_frequency,location_cluster_historical_avg_impact,corridor_rolling_impact_30d,junction_rolling_impact_30d,location_cluster_rolling_impact_30d,historical_impact_score
FKID004486,planned,12.99378563,77.58500934,12.9865118,77.57968247," to reach  chaudayya  road , chakravarti leeaut, vasamta  nagar , bemgaluuru madhya  nagar  nigama, Bengaluru, bemgaluuru uttara, bemgaluuru  nagar , Karnataka, 560001, India","shivanamda  circle , hareekrushna  road , Kumara Park East, hai graumds, gaamdhi nagar , bemgaluuru madhya  nagar  nigama, Bengaluru, bemgaluuru uttara, bemgaluuru  nagar , Karnataka, 560001, India",public_event,1,2023-09-29 23:38:19.342539+00:00,2023-11-13 10:05:46+00:00,closed,1,2023-11-13 10:05:46.036365+00:00,,unknown,person_at_person,unknown,,bellary_road_1,high,,,,2023-09-29 23:38:19.342539+00:00,"[[12.993785627127,77.58500933647157],[12.993712352608545,77.5846713781357],[12.993273639385581,77.58401155471803],[12.99214029330538,77.5833034515381],[12.991176803471813,77.5826758146286],[12.989902430858917,77.58190870285036],[12.988706394876605,77.58115231990816],[12.987303683297599,77.58028328418733],[12.986511798903342,77.579682469368]]",1,FKUSR00009,FKUSR00009,,,,high_ground,,,,,,,,,,Bengaluru Central Corporation,central_zone_2,unknown,10080.0,23,4,0,9,0,1,0,night,4,0,0.7719494968387445,1.4666671252891372,1,0.9936286711705301,0,0,0,1,0,0,0,0,9,0,10,1,2,277,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,High,2,100.0,1.949,577.4034752757923,1.4065573770491804,610,70.72727868852459,909.2545886939166,1.0330213667667314,5663,64.75658484901994,905.855646780299,1.0737155621742367,8058,65.1206825515016,100.0,100.0,100.0,94.47
FKID005760,unplanned,12.9668967,77.610555,12.9668967,77.610555,"Richmond Road, Monsignor Dsouza Circle, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",,others,0,2023-11-09 19:24:48.154000+00:00,2023-11-09 22:48:37.836256+00:00,closed,1,2023-11-09 22:48:37.836739+00:00,,unknown,off_road_in_the_road_sailencer_cutt,unknown,,non_corridor,low,,,,2023-11-09 19:27:19.694644+00:00,,1,FKUSR00961,FKUSR00001,,,,ashok_nagar,,FKKG000936,,,,FKUSR00961,2023-11-09 22:48:37.836256+00:00,,,Bengaluru Central Corporation,central_zone_1,d_souzacircle,203.8280376,19,3,0,11,1,0,0,evening,1,0,0.16200635568986982,1.5840878462756574,1,0.0,0,0,0,0,0,0,0,1,5,1,10,1,11,65,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,1,80.48,0.9,1072.2135594958706,0.5160051216389244,3124,57.65349551856594,134.3366259625,0.5,4,59.292500000000004,905.855646780299,1.0737155621742367,8058,65.1206825515016,80.48,80.48,80.48,53.63
FKID005762,unplanned,12.9819654,77.594477,12.9819654,77.594477,"Cubbon Road, Police Thimmaiah Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,accident,0,2023-11-09 19:28:05.033000+00:00,2023-11-09 20:35:47.789399+00:00,closed,1,2023-11-09 20:35:47.789399+00:00,,unknown,traffic_slow_movement,unknown,,cbd_2,high,,,,2023-11-09 19:29:40.336903+00:00,,1,FKUSR00689,FKUSR00001,,,,cubbon_park,,FKKG000673,,,,,,,,Bengaluru Central Corporation,central_zone_2,policetimmaiahcircle_gpo,67.71260665,19,3,0,11,1,0,0,evening,1,0,0.007881343122211294,0.26389141745884903,0,0.0,0,0,1,0,0,0,0,1,0,0,10,1,5,213,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,High,2,68.46,0.95,1995.6471385644231,1.5192307692307692,104,62.80471153846153,794.2833400845238,1.3571428571428572,14,55.357142857142854,905.855646780299,1.0737155621742367,8058,65.1206825515016,68.46,68.46,74.47,64.36
FKID005761,unplanned,12.9623447,77.5945534,12.9623447,77.5945534,"Mission Road, Ashirwadam Junction, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,0,2023-11-09 19:28:31.579000+00:00,2023-11-09 21:35:47.779824+00:00,closed,1,2023-11-09 21:35:47.779824+00:00,,unknown,no_problem,bmtc_bus,FKN00GL0960,non_corridor,low,,,,2023-11-09 19:29:30.672942+00:00,,1,FKUSR00444,FKUSR00001,,,,halasuru_gate,,FKKG000433,,,,,,,,Bengaluru Central Corporation,central_zone_2,bloodbankcircle,127.27001373333333,19,3,0,11,1,0,0,evening,1,0,0.007661341027897718,2.2077097900079967,1,0.0,0,0,0,0,1,0,0,1,13,1,1,1,11,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Medium,1,70.91,0.9,1072.2135594958706,0.5160051216389244,3124,57.65349551856594,3425.4090988644443,0.9333333333333333,15,67.84266666666666,905.855646780299,1.0737155621742367,8058,65.1206825515016,75.695,70.91,73.28333333333333,53.22
FKID005197,unplanned,12.9217733,77.585775,12.9217733,77.585775,"38th Cross Road, Block 4T East, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,water_logging,0,2023-11-09 20:51:36.296000+00:00,2023-11-13 21:31:36.702368+00:00,closed,1,2023-11-13 21:31:36.702862+00:00,,unknown,traffic_movement_is_noraml,unknown,,non_corridor,low,,,,2023-11-09 20:53:11.012768+00:00,,1,FKUSR00854,FKUSR00001,,,,jayanagara,,FKKG000834,,,,FKUSR00854,2023-11-13 21:31:36.702368+00:00,,,Bengaluru South Corporation,south_zone_1,unknown,5800.0067728,20,3,0,11,1,0,0,evening,1,0,0.5262742476325225,2.3570067147295335,1,0.0,1,0,0,0,0,0,0,1,15,1,10,1,11,277,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,Medium,1,85.0,0.9,1072.2135594958706,0.5160051216389244,3124,57.65349551856594,909.2545886939166,1.0330213667667314,5663,64.75658484901994,905.855646780299,1.0737155621742367,8058,65.1206825515016,78.79666666666667,85.0,76.2125,53.68
FKID005763,unplanned,12.9274491,77.6214064,12.9274491,77.6214064,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",,pot_holes,0,2023-11-09 21:21:43.780000+00:00,2023-11-09 21:27:43.988758+00:00,active,1,2023-11-09 21:27:43.988758+00:00,,unknown,unknown,unknown,,irr_thanisandra_road,high,,,,2023-11-09 21:22:08.229197+00:00,,1,FKUSR00935,FKUSR00001,,,,adugodi,,FKKG000913,,,,,,,,Bengaluru South Corporation,south_zone_2,koramangalawatertankjunc,6.0034792999999995,21,3,0,11,1,0,0,evening,1,0,0.01876021889593954,0.0682490496009074,0,0.0,0,0,0,0,0,1,0,1,6,0,10,0,8,147,7,0.0,0.0,0.0,0.0,0.548026544573425,0.0,0.0,0.0,0.0,0.0,0.0,0.4060149225031803,0.0,0.7313130582367913,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,1,45.75,0.6,710.9732384066667,1.2421052631578948,95,51.927263157894735,733.1227650908045,1.1724137931034482,29,48.88068965517241,905.855646780299,1.0737155621742367,8058,65.1206825515016,45.75,45.75,70.12,59.57
FKID005764,unplanned,13.0139483,77.5658217,13.0139483,77.5658217,"Bharat Rathna Professor CN Rao Circle Underpass, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",,others,0,2023-11-09 22:01:24.938000+00:00,2023-11-09 23:20:42.778236+00:00,active,1,2023-11-09 23:20:42.778236+00:00,,unknown,lead_damage,unknown,,tumkur_road,high,,,,2023-11-09 22:04:02.794139+00:00,,1,FKUSR00816,FKUSR00001,,,,malleshwaram,,FKKG000798,,,,,,,,Bengaluru West Corporation,west_zone_2,tatainstitutecircle,79.29733726666667,22,3,0,11,0,1,0,night,4,0,0.020524643990926277,2.0627901522105287,1,0.0,0,0,0,0,0,0,0,1,5,0,10,0,19,264,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Medium,1,54.91,0.9,437.78307261015283,1.3187772925764192,458,67.22281659388646,1756.1335030458333,1.25,12,68.26666666666667,905.855646780299,1.0737155621742367,8058,65.1206825515016,54.91,54.91,67.585,71.3
FKID005765,unplanned,12.9647158,77.5839903,12.9647158,77.5839903,"SP Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",,others,0,2023-11-09 22:10:51.914000+00:00,2023-11-15 21:19:57.816633+00:00,closed,1,2023-11-15 21:19:57.817265+00:00,,unknown,person_no_problem_sir,unknown,,mysore_road,high,,,,2023-11-09 22:12:08.547116+00:00,,1,FKUSR00071,FKUSR00001,,,,halasuru_gate,,FKKG000065,,,,FKUSR00071,2023-11-15 21:19:57.816633+00:00,,,Bengaluru Central Corporation,central_zone_2,townhalljunction,8589.098377216667,22,3,0,11,0,1,0,night,4,0,0.10782732406065118,1.8052715358228208,1,0.0,0,0,0,0,0,0,0,1,5,0,10,1,10,268,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,High,2,90.0,1.25,813.8669654716016,1.4158815612382234,743,70.74039030955585,397.6937878300001,1.4333333333333333,30,70.757,905.855646780299,1.0737155621742367,8058,65.1206825515016,90.0,90.0,70.78714285714285,71.3
FKID005766,unplanned,12.9554704,77.5921748,12.9554704,77.5921748,"KH Road, BMTC Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,0,2023-11-09 22:19:50.287000+00:00,2023-11-10 00:35:47.773678+00:00,closed,1,2023-11-10 00:35:47.773678+00:00,,unknown,unknown,bmtc_bus,FKN00GL2829,non_corridor,low,,,,2023-11-09 22:22:32.041870+00:00,,1,FKUSR00573,FKUSR00001,,,,wilson_garden,,FKKG000562,,,,,,,,Bengaluru Central Corporation,central_zone_2,bmtcjunction_k_h_road,135.9581113,22,3,0,11,0,1,0,night,4,0,0.14399603916339146,2.866298738728668,1,0.0,0,0,0,0,1,0,0,1,13,1,1,1,11,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6123344187878399,0.0,0.0,0.0,0.7156993212206915,0.0,0.3358884356032517,0.0,0.0,1,Low,0,46.99,0.55,1072.2135594958706,0.5160051216389244,3124,57.65349551856594,1079.2287871833332,0.4,10,53.402,905.855646780299,1.0737155621742367,8058,65.1206825515016,70.845,46.99,67.8125,53.22
FKID005767,unplanned,12.9581237,77.5739029,12.9581237,77.5739029,"KR Main Road, Professor P Shivshankar Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",,vehicle_breakdown,0,2023-11-09 22:35:52.555000+00:00,2023-11-10 00:13:30.616095+00:00,closed,1,2023-11-10 00:13:30.616759+00:00,,unknown,bmtc_bus_offload_k_r_road_shivashankar_junction_towords_medical_college_junction_one_side_vehicle_moving_sir,bmtc_bus,FKN00GL2830,non_corridor,low,,,,2023-11-09 22:39:44.586808+00:00,,1,FKUSR00058,FKUSR00001,,,,v_v_puram_c_pet,,FKKG000052,,,,FKUSR00058,2023-11-10 00:13:30.616095+00:00,,,Bengaluru Central Corporation,central_zone_2,shivashankara_circle,97.63435158333333,22,3,0,11,0,1,0,night,4,0,0.007928209220558508,0.911977422181483,1,0.0,0,0,0,0,1,0,0,1,13,1,1,1,11,247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Low,0,42.2,0.55,1072.2135594958706,0.5160051216389244,3124,57.65349551856594,115.57401242333336,0.4,5,55.444,905.855646780299,1.0737155621742367,8058,65.1206825515016,65.116,42.2,64.96666666666667,53.22
